datetime,open,high,low,close,volumns
2022-04-25 00:00:00,2.349,2.394,2.204,2.376,97844971.7
2022-04-26 00:00:00,2.376,2.45,2.142,2.182,111265969.7
2022-04-27 00:00:00,2.182,2.283,2.158,2.251,71536850.8
2022-04-28 00:00:00,2.252,2.352,2.242,2.313,105240308.7
2022-04-29 00:00:00,2.313,2.377,2.22,2.273,108628131.1
2022-04-30 00:00:00,2.273,2.29,1.91,2.01,113158278.3
2022-05-01 00:00:00,2.009,2.111,1.995,2.106,66107732.6
2022-05-02 00:00:00,2.107,2.152,2.03,2.095,77245389.7
2022-05-03 00:00:00,2.094,2.123,2.015,2.053,55253943.4
2022-05-04 00:00:00,2.053,2.237,2.043,2.224,73722728.1
2022-05-05 00:00:00,2.224,2.249,1.954,2.011,111548250.7
2022-05-06 00:00:00,2.012,2.048,1.935,2.022,79064725.4
2022-05-07 00:00:00,2.023,2.049,1.926,1.976,66857167.5
2022-05-08 00:00:00,1.976,1.993,1.925,1.949,64592068.4
2022-05-09 00:00:00,1.949,1.976,1.508,1.582,177364212.7
2022-05-10 00:00:00,1.582,1.815,1.582,1.716,205764160.7
2022-05-11 00:00:00,1.716,1.737,1.337,1.406,268643640
2022-05-12 00:00:00,1.407,1.455,1.11,1.272,251251059.2
2022-05-13 00:00:00,1.273,1.461,1.257,1.338,118449557
2022-05-14 00:00:00,1.338,1.381,1.249,1.35,80416530.9
2022-05-15 00:00:00,1.35,1.409,1.308,1.405,60327184.5
2022-05-16 00:00:00,1.405,1.408,1.277,1.315,87192270.4
2022-05-17 00:00:00,1.316,1.394,1.31,1.376,66906565.3
2022-05-18 00:00:00,1.377,1.39,1.259,1.266,68952578.3
2022-05-19 00:00:00,1.265,1.336,1.221,1.321,65703240.9
2022-05-20 00:00:00,1.32,1.348,1.244,1.272,76624842.1
2022-05-21 00:00:00,1.271,1.324,1.242,1.306,55036516.8
2022-05-22 00:00:00,1.305,1.371,1.291,1.354,67484142.5
2022-05-23 00:00:00,1.353,1.439,1.29,1.305,89431216
2022-05-24 00:00:00,1.306,1.357,1.27,1.343,70829478.1
2022-05-25 00:00:00,1.343,1.372,1.302,1.322,60025728.3
2022-05-26 00:00:00,1.322,1.34,1.185,1.236,97418374.5
2022-05-27 00:00:00,1.236,1.26,1.184,1.213,101084184.2
2022-05-28 00:00:00,1.214,1.265,1.205,1.255,55873801.9
2022-05-29 00:00:00,1.255,1.295,1.229,1.292,50603296
2022-05-30 00:00:00,1.292,1.402,1.281,1.387,74408927.5
2022-05-31 00:00:00,1.387,1.398,1.327,1.381,84801004.3
2022-06-01 00:00:00,1.381,1.407,1.238,1.265,84267742.5
2022-06-02 00:00:00,1.266,1.298,1.245,1.292,54480253.2
2022-06-03 00:00:00,1.292,1.3,1.232,1.263,51501135.4
2022-06-04 00:00:00,1.263,1.295,1.238,1.284,39869314.6
2022-06-05 00:00:00,1.283,1.294,1.255,1.268,37975547.7
2022-06-06 00:00:00,1.268,1.334,1.26,1.302,61503092.8
2022-06-07 00:00:00,1.301,1.325,1.216,1.284,75549301
2022-06-08 00:00:00,1.284,1.307,1.24,1.252,62845006.5
2022-06-09 00:00:00,1.253,1.276,1.227,1.238,52734782.5
2022-06-10 00:00:00,1.239,1.252,1.16,1.182,68015274
2022-06-11 00:00:00,1.182,1.215,1.096,1.117,89153691.7
2022-06-12 00:00:00,1.117,1.126,1.027,1.028,108587355.2
2022-06-13 00:00:00,1.027,1.043,0.875,0.916,251501199.7
2022-06-14 00:00:00,0.916,0.961,0.85,0.94,163333225.4
2022-06-15 00:00:00,0.941,1.015,0.852,1.008,207055843.6
